acc_x,acc_y,acc_z
0.134079,0.239427,9.914692
0.126897,0.260976,9.924269
0.126897,0.239427,9.912297
0.134079,0.263370,9.933846
0.119714,0.249005,9.900327
0.122108,0.260976,9.909904
0.126897,0.237033,9.921875
0.134079,0.260976,9.933846
0.112531,0.251399,9.917087
0.138868,0.260976,9.914692
0.129291,0.241822,9.917087
0.138868,0.260976,9.919480
0.107742,0.253793,9.909904
0.134079,0.260976,9.926663
0.134079,0.256187,9.933846
0.124502,0.253793,9.955395
0.095771,0.256187,9.921875
-1.817255,-0.469278,9.883567
-1.884294,0.466884,10.065532
-1.438959,0.797293,9.941029
0.940950,1.276148,9.895537
2.126116,1.678387,9.845258
2.118933,1.204320,9.900327
2.667222,0.368718,9.926663
3.541132,0.742225,10.099051
2.379909,-0.191542,9.859624
0.550683,-0.790111,9.905115
-1.130098,-1.714301,10.000886
-1.869929,-1.908237,9.902720
-1.087001,-1.043904,9.917087
-0.711100,-1.252206,9.960183
-0.677580,-0.785322,9.838076
-0.859545,0.287313,9.871595
-0.718282,1.268966,9.814133
-0.296890,1.951334,9.960183
0.900247,1.790918,9.900327
0.344776,0.696734,9.957788
0.244216,0.478855,9.953000
0.500403,0.512375,9.900327
0.486038,-0.186753,9.917087
0.129291,0.232245,9.955395
0.114925,0.225062,9.897932
0.105348,0.268159,9.931452
0.122108,0.263370,9.905115
0.138868,0.258582,9.929058
0.117319,0.256187,9.938635
0.122108,0.263370,9.921875
0.122108,0.260976,9.905115
0.119714,0.244216,9.933846
0.124502,0.249005,9.909904
0.117319,0.260976,9.919480
0.119714,0.251399,9.938635
0.122108,0.253793,9.921875
0.129291,0.256187,9.950606
0.134079,0.244216,9.924269
0.122108,0.268159,9.919480
0.114925,0.256187,9.909904
0.129291,0.277736,9.924269
0.119714,0.249005,9.914692
0.105348,0.265765,9.924269
0.134079,0.251399,9.907509
0.117319,0.260976,9.921875
0.122108,0.270553,9.931452
0.112531,0.260976,9.941029
0.117319,0.260976,9.931452
0.131685,0.263370,9.938635
0.117319,0.244216,9.907509
0.119714,0.263370,9.924269
0.131685,0.251399,9.919480
0.107742,0.249005,9.926663
0.119714,0.244216,9.909904
0.114925,0.251399,9.914692
0.107742,0.270553,9.941029
0.126897,0.251399,9.929058
0.126897,0.241822,9.929058
0.131685,0.258582,9.909904
0.124502,0.258582,9.924269
0.122108,0.256187,9.917087
0.126897,0.258582,9.924269
0.119714,0.265765,9.936240
0.122108,0.268159,9.919480
0.122108,0.265765,9.914692
0.119714,0.270553,9.921875
0.126897,0.256187,9.907509
0.112531,0.253793,9.897932
0.131685,0.277736,9.929058
0.129291,0.246610,9.929058
0.114925,0.244216,9.909904
0.124502,0.251399,9.924269
0.134079,0.258582,9.914692
0.124502,0.258582,9.912297
0.124502,0.251399,9.917087
0.117319,0.246610,9.917087
0.119714,0.237033,9.938635
0.126897,0.253793,9.907509
0.119714,0.253793,9.984126
-1.704724,-3.208328,9.941029
-2.830033,-1.003201,9.945818
-2.430189,0.976864,9.902720
-1.800495,2.054288,9.811738
0.105348,2.159636,9.917087
1.740638,2.540326,9.730332
3.220300,1.910631,9.984126
4.142096,2.267378,10.326508
4.113364,0.943344,9.723150
2.432583,0.067040,9.909904
1.199532,-1.314457,10.003280
-0.474066,-3.519584,9.943423
-2.066259,-3.615355,9.914692
-1.697541,-1.673598,9.936240
-1.189955,-0.735042,9.830893
-0.986441,0.639271,9.941029
-0.399844,1.019961,9.828498
-0.450124,0.562655,10.010463
-0.356747,1.453325,9.929058
0.574626,1.783735,9.924269
1.010384,0.797293,9.878778
-0.474066,0.756591,9.972155
0.203513,0.356747,9.924269
0.373507,-0.002394,9.953000
0.442941,-0.088588,9.941029
0.129291,0.263370,9.914692
0.114925,0.277736,9.929058
0.105348,0.268159,9.919480
0.122108,0.272947,9.924269
0.122108,0.256187,9.924269
0.138868,0.249005,9.909904
0.107742,0.265765,9.921875
0.102954,0.275342,9.897932
0.122108,0.251399,9.921875
0.122108,0.260976,9.909904
0.114925,0.251399,10.020041
0.112531,0.251399,9.917087
0.110137,0.251399,9.919480
0.117319,0.253793,9.914692
0.117319,0.253793,9.931452
0.117319,0.253793,9.924269
0.112531,0.272947,9.921875
0.119714,0.244216,9.905115
0.117319,0.251399,9.924269
0.117319,0.256187,9.919480
0.126897,0.284919,9.917087
0.124502,0.251399,9.931452
0.119714,0.260976,9.931452
0.112531,0.258582,9.945818
0.114925,0.249005,9.936240
0.110137,0.268159,9.919480
0.114925,0.256187,9.936240
0.131685,0.270553,9.938635
0.126897,0.256187,9.914692
0.114925,0.263370,9.919480
0.119714,0.251399,9.914692
0.117319,0.256187,9.931452
0.112531,0.249005,9.900327
0.110137,0.258582,9.938635
0.124502,0.249005,9.914692
0.126897,0.256187,9.926663
0.114925,0.263370,9.936240
0.122108,0.258582,9.895537
0.117319,0.272947,9.931452
0.122108,0.263370,9.921875
0.122108,0.246610,9.938635
0.131685,0.277736,9.931452
0.107742,0.258582,9.917087
0.122108,0.265765,9.919480
0.117319,0.256187,9.924269
0.114925,0.249005,9.914692
0.098165,0.251399,9.912297
0.126897,0.260976,9.912297
0.110137,0.256187,9.936240
0.100560,0.256187,9.912297
0.126897,0.249005,9.929058
0.112531,0.260976,9.938635
